Anzsic,Anzsic_description,Period,Data_value,Variable,Units,Gas,Status
DD1,"Electricity, gas, water, and waste services",2015Q4,1993,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q1,1956,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q2,1905,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q3,1741,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2016Q4,1575,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q1,1593,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q2,2053,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q3,2111,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2017Q4,2000,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q1,1933,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q2,1782,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q3,1836,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2018Q4,2066,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q1,2216,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q2,1967,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q3,2176,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2019Q4,1861,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q1,2062,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q2,1996,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q3,2561,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2020Q4,1936,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q1,2339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q2,2707,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q3,1922,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2021Q4,1362,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q1,1861,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q2,2020,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
DD1,"Electricity, gas, water, and waste services",2022Q3,1498,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q1,223,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q2,226,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q3,254,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2014Q4,235,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q1,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q2,240,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q3,229,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2015Q4,232,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q1,238,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q2,253,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q3,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2016Q4,299,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q1,314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q2,292,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q3,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2017Q4,383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q1,370,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q2,400,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q3,399,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2018Q4,418,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q1,396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q2,383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q3,378,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2019Q4,396,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q1,372,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q2,268,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q3,424,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2020Q4,406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q1,409,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q2,419,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q3,366,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2021Q4,406,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q1,394,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q2,383,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
EE1,Construction,2022Q3,412,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q1,2072,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q2,2083,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q3,2126,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2014Q4,2144,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
ZSZ,Service industries,2015Q1,2194,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents,P
